id,title,text,label,category,source_type,author,publication_date,country,language,word_count,has_source,credibility_score,shares,likes,comments
27,National bank introduces updated digital payment security guidelines,"A recent report discusses national bank introduces updated digital payment security guidelines. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Politics,Official/Reported,Author_43,2026-07-01,Canada,English,28,True,0.81,59648,37393,6930
28,Weather department issues rainfall advisory for several regions,"According to an update shared by relevant organizations, weather department issues rainfall advisory for several regions. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Entertainment,Official/Reported,Author_40,2026-04-10,USA,English,32,True,0.98,75924,71071,998
29,University launches internship program for engineering students,"According to an update shared by relevant organizations, university launches internship program for engineering students. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Business,Official/Reported,Author_15,2026-01-19,Canada,English,31,True,0.87,69625,20640,931
30,Technology company releases a software update with security fixes,"According to an update shared by relevant organizations, technology company releases a software update with security fixes. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Technology,Official/Reported,Author_48,2026-02-20,India,English,33,True,0.91,30838,52928,1964
31,Celebrity secretly becomes president of the country overnight,"An unverified internet post claims that celebrity secretly becomes president of the country overnight. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Education,Social Media/Unverified,Author_149,2026-01-20,India,English,34,False,0.2,76513,74090,8565
32,Scientists confirm that drinking one glass of water gives superpowers,Social media users are circulating a story claiming that scientists confirm that drinking one glass of water gives superpowers. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Health,Social Media/Unverified,Author_53,2026-06-08,UK,English,34,False,0.19,88049,39326,7491
33,Government announces free smartphones for every citizen tomorrow,Social media users are circulating a story claiming that government announces free smartphones for every citizen tomorrow. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Technology,Social Media/Unverified,Author_3,2026-08-20,Australia,English,32,False,0.4,9612,70473,3492
34,New app claims it can predict every person's future with 100 percent accuracy,"An unverified internet post claims that new app claims it can predict every person's future with 100 percent accuracy. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Health,Social Media/Unverified,Author_34,2026-06-03,USA,English,39,False,0.18,20686,57438,13660
35,Internet users discover a hidden button that makes phones charge instantly,"An unverified internet post claims that internet users discover a hidden button that makes phones charge instantly. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Health,Social Media/Unverified,Author_136,2026-01-22,Australia,English,37,False,0.15,86961,13582,14387
36,Researchers prove that humans can survive without sleep for one year,A viral online claim says that researchers prove that humans can survive without sleep for one year. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Health,Social Media/Unverified,Author_30,2026-02-24,Australia,English,41,False,0.1,36940,79281,3450
37,Company announces that its laptop can run for ten years without charging,"An unverified internet post claims that company announces that its laptop can run for ten years without charging. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Business,Social Media/Unverified,Author_53,2026-05-17,Canada,English,38,False,0.14,6668,12102,10392
38,Social media post claims the moon will disappear for seven days,Social media users are circulating a story claiming that social media post claims the moon will disappear for seven days. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Health,Social Media/Unverified,Author_12,2026-01-11,USA,English,35,False,0.27,34345,21183,12144
39,Online message says students can receive guaranteed jobs by sharing one post,Social media users are circulating a story claiming that online message says students can receive guaranteed jobs by sharing one post. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Weather,Social Media/Unverified,Author_144,2026-01-04,India,English,36,False,0.38,90583,19541,8938
40,Viral post claims a common household item can completely cure every disease,A viral online claim says that viral post claims a common household item can completely cure every disease. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Business,Social Media/Unverified,Author_150,2026-03-14,USA,English,42,False,0.06,47805,5234,14727
41,Government announces new scholarship program for college students,"A recent report discusses government announces new scholarship program for college students. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Education,Official/Reported,Author_64,2026-02-12,Australia,English,28,True,0.96,53274,20262,3878
42,Scientists discover a new method to improve solar panel efficiency,Officials and researchers have reported an update related to scientists discover a new method to improve solar panel efficiency. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Science,Official/Reported,Author_106,2026-01-06,UK,English,41,True,0.94,53974,32532,4371
43,Local university opens a new artificial intelligence research center,Officials and researchers have reported an update related to local university opens a new artificial intelligence research center. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Technology,Official/Reported,Author_98,2026-01-28,Canada,English,40,True,0.8,60342,45835,5000
44,New public transport route launched to connect rural areas,Officials and researchers have reported an update related to new public transport route launched to connect rural areas. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Education,Official/Reported,Author_7,2026-04-13,UK,English,40,True,0.82,9109,36590,5753
45,Researchers publish study on reducing plastic waste in cities,"According to an update shared by relevant organizations, researchers publish study on reducing plastic waste in cities. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Weather,Official/Reported,Author_138,2026-06-01,India,English,33,True,0.96,34247,23410,9512
46,Health department releases updated vaccination schedule,"A recent report discusses health department releases updated vaccination schedule. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Politics,Official/Reported,Author_28,2026-07-12,UK,English,26,True,0.85,67043,15162,6311
47,National bank introduces updated digital payment security guidelines,"According to an update shared by relevant organizations, national bank introduces updated digital payment security guidelines. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Education,Official/Reported,Author_66,2026-01-23,Canada,English,32,True,0.75,70585,25830,5967
48,Weather department issues rainfall advisory for several regions,"A recent report discusses weather department issues rainfall advisory for several regions. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Technology,Official/Reported,Author_85,2026-06-22,India,English,28,True,0.92,39373,66474,5067
49,University launches internship program for engineering students,"According to an update shared by relevant organizations, university launches internship program for engineering students. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Weather,Official/Reported,Author_84,2026-07-23,UK,English,31,True,0.88,25154,55113,10894
50,Technology company releases a software update with security fixes,"A recent report discusses technology company releases a software update with security fixes. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Science,Official/Reported,Author_146,2026-05-13,Australia,English,29,True,0.95,39839,37611,3443
51,Celebrity secretly becomes president of the country overnight,Social media users are circulating a story claiming that celebrity secretly becomes president of the country overnight. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Business,Social Media/Unverified,Author_120,2026-08-15,USA,English,32,False,0.23,96473,22246,10794
52,Scientists confirm that drinking one glass of water gives superpowers,A viral online claim says that scientists confirm that drinking one glass of water gives superpowers. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Health,Social Media/Unverified,Author_132,2026-06-03,USA,English,40,False,0.29,29454,26105,2414
53,Government announces free smartphones for every citizen tomorrow,A viral online claim says that government announces free smartphones for every citizen tomorrow. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Politics,Social Media/Unverified,Author_63,2026-08-20,India,English,38,False,0.21,82554,75459,3185
54,New app claims it can predict every person's future with 100 percent accuracy,"An unverified internet post claims that new app claims it can predict every person's future with 100 percent accuracy. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Weather,Social Media/Unverified,Author_127,2026-07-08,USA,English,39,False,0.28,736,13975,12753
55,Internet users discover a hidden button that makes phones charge instantly,Social media users are circulating a story claiming that internet users discover a hidden button that makes phones charge instantly. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Education,Social Media/Unverified,Author_46,2026-08-02,Australia,English,35,False,0.14,15916,59834,2184
56,Researchers prove that humans can survive without sleep for one year,Social media users are circulating a story claiming that researchers prove that humans can survive without sleep for one year. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Business,Social Media/Unverified,Author_114,2026-07-27,Australia,English,35,False,0.21,20871,62221,7373
57,Company announces that its laptop can run for ten years without charging,Social media users are circulating a story claiming that company announces that its laptop can run for ten years without charging. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Education,Social Media/Unverified,Author_71,2026-08-21,USA,English,36,False,0.15,10165,37455,3841
58,Social media post claims the moon will disappear for seven days,Social media users are circulating a story claiming that social media post claims the moon will disappear for seven days. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Business,Social Media/Unverified,Author_82,2026-02-05,USA,English,35,False,0.13,90967,20033,11573
59,Online message says students can receive guaranteed jobs by sharing one post,A viral online claim says that online message says students can receive guaranteed jobs by sharing one post. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Technology,Social Media/Unverified,Author_107,2026-07-11,Australia,English,42,False,0.21,8171,27115,13646
60,Viral post claims a common household item can completely cure every disease,Social media users are circulating a story claiming that viral post claims a common household item can completely cure every disease. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Weather,Social Media/Unverified,Author_150,2026-01-28,Australia,English,36,False,0.18,782,46110,4892
61,Government announces new scholarship program for college students,"A recent report discusses government announces new scholarship program for college students. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Weather,Official/Reported,Author_138,2026-04-16,USA,English,28,True,0.82,63664,3809,6371
62,Scientists discover a new method to improve solar panel efficiency,"A recent report discusses scientists discover a new method to improve solar panel efficiency. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Weather,Official/Reported,Author_43,2026-08-05,Australia,English,30,True,0.88,51655,77585,9246
63,Local university opens a new artificial intelligence research center,"According to an update shared by relevant organizations, local university opens a new artificial intelligence research center. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Politics,Official/Reported,Author_22,2026-07-05,Canada,English,33,True,0.79,34109,49694,5363
64,New public transport route launched to connect rural areas,Officials and researchers have reported an update related to new public transport route launched to connect rural areas. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Entertainment,Official/Reported,Author_84,2026-06-25,Canada,English,40,True,0.82,55265,33070,13679
65,Researchers publish study on reducing plastic waste in cities,Officials and researchers have reported an update related to researchers publish study on reducing plastic waste in cities. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Entertainment,Official/Reported,Author_5,2026-01-12,USA,English,40,True,0.91,85436,5281,12357
66,Health department releases updated vaccination schedule,Officials and researchers have reported an update related to health department releases updated vaccination schedule. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Education,Official/Reported,Author_52,2026-01-20,USA,English,37,True,0.81,62080,14998,9240
67,National bank introduces updated digital payment security guidelines,Officials and researchers have reported an update related to national bank introduces updated digital payment security guidelines. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Entertainment,Official/Reported,Author_66,2026-06-06,Australia,English,39,True,0.9,98042,15017,12743
68,Weather department issues rainfall advisory for several regions,Officials and researchers have reported an update related to weather department issues rainfall advisory for several regions. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Health,Official/Reported,Author_28,2026-01-10,Australia,English,39,True,0.91,49202,51995,11714
69,University launches internship program for engineering students,Officials and researchers have reported an update related to university launches internship program for engineering students. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Technology,Official/Reported,Author_63,2026-02-23,UK,English,38,True,0.95,78707,15871,13045
70,Technology company releases a software update with security fixes,"According to an update shared by relevant organizations, technology company releases a software update with security fixes. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Politics,Official/Reported,Author_89,2026-07-22,UK,English,33,True,0.77,84884,44730,207
71,Celebrity secretly becomes president of the country overnight,Social media users are circulating a story claiming that celebrity secretly becomes president of the country overnight. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Entertainment,Social Media/Unverified,Author_28,2026-07-12,Canada,English,32,False,0.3,57090,23091,12022
72,Scientists confirm that drinking one glass of water gives superpowers,"An unverified internet post claims that scientists confirm that drinking one glass of water gives superpowers. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Health,Social Media/Unverified,Author_138,2026-08-15,Canada,English,36,False,0.34,77666,35184,5280
73,Government announces free smartphones for every citizen tomorrow,A viral online claim says that government announces free smartphones for every citizen tomorrow. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Technology,Social Media/Unverified,Author_72,2026-08-08,Canada,English,38,False,0.25,87590,49679,5511
74,New app claims it can predict every person's future with 100 percent accuracy,A viral online claim says that new app claims it can predict every person's future with 100 percent accuracy. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Entertainment,Social Media/Unverified,Author_84,2026-03-16,USA,English,43,False,0.17,33872,44613,4581
75,Internet users discover a hidden button that makes phones charge instantly,"An unverified internet post claims that internet users discover a hidden button that makes phones charge instantly. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Health,Social Media/Unverified,Author_143,2026-01-17,USA,English,37,False,0.08,94391,53276,8004
76,Researchers prove that humans can survive without sleep for one year,"An unverified internet post claims that researchers prove that humans can survive without sleep for one year. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Education,Social Media/Unverified,Author_122,2026-08-15,India,English,37,False,0.08,29055,53010,11334
77,Company announces that its laptop can run for ten years without charging,A viral online claim says that company announces that its laptop can run for ten years without charging. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Health,Social Media/Unverified,Author_149,2026-06-16,Australia,English,42,False,0.24,55781,72145,5419
78,Social media post claims the moon will disappear for seven days,Social media users are circulating a story claiming that social media post claims the moon will disappear for seven days. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Entertainment,Social Media/Unverified,Author_70,2026-05-09,USA,English,35,False,0.09,25252,41364,1958
79,Online message says students can receive guaranteed jobs by sharing one post,"An unverified internet post claims that online message says students can receive guaranteed jobs by sharing one post. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Science,Social Media/Unverified,Author_50,2026-04-24,Canada,English,38,False,0.15,77288,68770,9777
80,Viral post claims a common household item can completely cure every disease,Social media users are circulating a story claiming that viral post claims a common household item can completely cure every disease. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Technology,Social Media/Unverified,Author_50,2026-05-08,UK,English,36,False,0.11,1864,70015,2073
81,Government announces new scholarship program for college students,"A recent report discusses government announces new scholarship program for college students. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Politics,Official/Reported,Author_14,2026-05-23,USA,English,28,True,0.9,98679,64345,1680
82,Scientists discover a new method to improve solar panel efficiency,Officials and researchers have reported an update related to scientists discover a new method to improve solar panel efficiency. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Health,Official/Reported,Author_121,2026-08-15,UK,English,41,True,0.79,6744,33097,14118
83,Local university opens a new artificial intelligence research center,"A recent report discusses local university opens a new artificial intelligence research center. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Technology,Official/Reported,Author_17,2026-07-16,India,English,29,True,0.89,89984,7031,2485
84,New public transport route launched to connect rural areas,Officials and researchers have reported an update related to new public transport route launched to connect rural areas. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Health,Official/Reported,Author_22,2026-04-04,Australia,English,40,True,0.93,79481,78140,12955
85,Researchers publish study on reducing plastic waste in cities,"According to an update shared by relevant organizations, researchers publish study on reducing plastic waste in cities. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Education,Official/Reported,Author_134,2026-07-15,Canada,English,33,True,0.82,77149,56212,5003
86,Health department releases updated vaccination schedule,"According to an update shared by relevant organizations, health department releases updated vaccination schedule. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Politics,Official/Reported,Author_26,2026-04-21,USA,English,30,True,0.81,10651,20590,3929
87,National bank introduces updated digital payment security guidelines,Officials and researchers have reported an update related to national bank introduces updated digital payment security guidelines. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Technology,Official/Reported,Author_41,2026-01-14,Canada,English,39,True,0.92,61602,38180,534
88,Weather department issues rainfall advisory for several regions,Officials and researchers have reported an update related to weather department issues rainfall advisory for several regions. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Health,Official/Reported,Author_73,2026-08-03,USA,English,39,True,0.97,81937,77309,10832
89,University launches internship program for engineering students,Officials and researchers have reported an update related to university launches internship program for engineering students. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Weather,Official/Reported,Author_30,2026-04-21,USA,English,38,True,0.97,18653,9364,977
90,Technology company releases a software update with security fixes,Officials and researchers have reported an update related to technology company releases a software update with security fixes. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Health,Official/Reported,Author_146,2026-05-15,India,English,40,True,0.86,39867,52762,4460
91,Celebrity secretly becomes president of the country overnight,"An unverified internet post claims that celebrity secretly becomes president of the country overnight. No dependable evidence is provided in the message, so the information should not be treated as confirmed without further verification.",FAKE,Entertainment,Social Media/Unverified,Author_113,2026-02-20,India,English,34,False,0.36,96286,42252,9891
92,Scientists confirm that drinking one glass of water gives superpowers,Social media users are circulating a story claiming that scientists confirm that drinking one glass of water gives superpowers. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Politics,Social Media/Unverified,Author_24,2026-04-22,Australia,English,34,False,0.26,2729,35330,9441
93,Government announces free smartphones for every citizen tomorrow,A viral online claim says that government announces free smartphones for every citizen tomorrow. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Science,Social Media/Unverified,Author_121,2026-08-09,USA,English,38,False,0.4,57142,64456,1494
94,New app claims it can predict every person's future with 100 percent accuracy,Social media users are circulating a story claiming that new app claims it can predict every person's future with 100 percent accuracy. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Business,Social Media/Unverified,Author_105,2026-06-11,India,English,37,False,0.35,43238,53960,11365
95,Internet users discover a hidden button that makes phones charge instantly,Social media users are circulating a story claiming that internet users discover a hidden button that makes phones charge instantly. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Health,Social Media/Unverified,Author_103,2026-01-15,India,English,35,False,0.16,42382,15199,12657
96,Researchers prove that humans can survive without sleep for one year,Social media users are circulating a story claiming that researchers prove that humans can survive without sleep for one year. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Politics,Social Media/Unverified,Author_139,2026-08-14,India,English,35,False,0.12,47429,65343,10246
97,Company announces that its laptop can run for ten years without charging,Social media users are circulating a story claiming that company announces that its laptop can run for ten years without charging. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Politics,Social Media/Unverified,Author_53,2026-05-18,USA,English,36,False,0.37,57434,63537,1989
98,Social media post claims the moon will disappear for seven days,A viral online claim says that social media post claims the moon will disappear for seven days. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Education,Social Media/Unverified,Author_41,2026-05-18,India,English,41,False,0.24,12227,29456,13785
99,Online message says students can receive guaranteed jobs by sharing one post,A viral online claim says that online message says students can receive guaranteed jobs by sharing one post. The post provides dramatic details but does not identify a reliable official source or independent evidence. Readers should verify the claim before sharing it.,FAKE,Entertainment,Social Media/Unverified,Author_31,2026-03-16,UK,English,42,False,0.23,35848,54464,13676
100,Viral post claims a common household item can completely cure every disease,Social media users are circulating a story claiming that viral post claims a common household item can completely cure every disease. The claim appears sensational and should be checked against trustworthy news organizations and official statements.,FAKE,Entertainment,Social Media/Unverified,Author_63,2026-08-18,USA,English,36,False,0.18,78571,66621,12227
101,Government announces new scholarship program for college students,Officials and researchers have reported an update related to government announces new scholarship program for college students. The information is being discussed through formal announcements and available reports. Readers are advised to check the original source for complete details.,REAL,Technology,Official/Reported,Author_71,2026-07-11,Australia,English,39,True,0.81,346,37077,11895
102,Scientists discover a new method to improve solar panel efficiency,"A recent report discusses scientists discover a new method to improve solar panel efficiency. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Entertainment,Official/Reported,Author_39,2026-08-18,Canada,English,30,True,0.83,72350,71233,6180
103,Local university opens a new artificial intelligence research center,"A recent report discusses local university opens a new artificial intelligence research center. The development has attracted public attention, while further details are expected from relevant authorities and organizations.",REAL,Business,Official/Reported,Author_49,2026-04-19,Canada,English,29,True,0.81,53851,5725,5213
104,New public transport route launched to connect rural areas,"According to an update shared by relevant organizations, new public transport route launched to connect rural areas. The report focuses on the available information and encourages readers to verify details through reliable sources.",REAL,Entertainment,Official/Reported,Author_98,2026-07-22,USA,English,33,True,0.87,4862,16552,8229
